symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AAPL,2024-12-09 15:00:00+00:00,243.92,244.72,243.805,244.42,56548.0,741.0,244.250519
AAPL,2024-12-09 15:15:00+00:00,244.44,244.66,244.13,244.51,25147.0,415.0,244.396672
AAPL,2024-12-09 15:30:00+00:00,244.485,245.35,244.44,245.235,57400.0,647.0,244.932649
AAPL,2024-12-09 15:45:00+00:00,245.23,246.26,245.05,246.02,54682.0,659.0,245.726686
AAPL,2024-12-09 16:00:00+00:00,246.045,246.93,246.01,246.885,71496.0,573.0,246.310769
AAPL,2024-12-09 16:15:00+00:00,246.91,247.225,246.32,246.48,64985.0,566.0,246.815751
AAPL,2024-12-09 16:30:00+00:00,246.455,247.02,246.32,246.345,47498.0,442.0,246.722868
AAPL,2024-12-09 16:45:00+00:00,246.43,247.11,246.34,246.88,21459.0,412.0,246.777223
AAPL,2024-12-09 17:00:00+00:00,246.87,247.17,246.6,247.155,44695.0,484.0,246.947804
AAPL,2024-12-09 17:15:00+00:00,247.15,247.24,246.72,246.82,25707.0,444.0,247.010836
AAPL,2024-12-09 17:30:00+00:00,246.825,247.0,246.49,246.71,21015.0,418.0,246.801595
AAPL,2024-12-09 17:45:00+00:00,246.68,246.89,245.72,246.19,33020.0,451.0,246.290119
AAPL,2024-12-09 18:00:00+00:00,246.205,246.58,246.14,246.47,15085.0,253.0,246.305768
AAPL,2024-12-09 18:15:00+00:00,246.49,247.005,246.49,246.905,18784.0,273.0,246.763629
AAPL,2024-12-09 18:30:00+00:00,246.845,246.85,246.39,246.515,21098.0,390.0,246.602185
AAPL,2024-12-09 18:45:00+00:00,246.57,246.83,246.43,246.74,18064.0,318.0,246.644099
AAPL,2024-12-09 19:00:00+00:00,246.66,246.72,246.265,246.28,21720.0,345.0,246.527709
AAPL,2024-12-09 19:15:00+00:00,246.275,246.43,246.07,246.13,17325.0,335.0,246.249974
AAPL,2024-12-09 19:30:00+00:00,246.095,246.32,245.9,246.15,15593.0,265.0,246.104339
AAPL,2024-12-09 19:45:00+00:00,246.22,246.47,246.095,246.385,19391.0,256.0,246.292592
AAPL,2024-12-09 20:00:00+00:00,246.425,246.46,246.23,246.4,17129.0,310.0,246.356881
AAPL,2024-12-09 20:15:00+00:00,246.465,246.76,246.32,246.76,26199.0,436.0,246.498888
AAPL,2024-12-09 20:30:00+00:00,246.81,247.06,246.575,246.575,31347.0,439.0,246.869756
AAPL,2024-12-09 20:45:00+00:00,246.575,247.0,246.155,246.89,116985.0,1233.0,246.624626
AAPL,2024-12-10 14:30:00+00:00,246.91,247.63,245.89,246.94,104126.0,1073.0,246.604891
AAPL,2024-12-10 14:45:00+00:00,247.27,247.75,246.92,247.73,37148.0,531.0,247.349983
AAPL,2024-12-10 15:00:00+00:00,247.63,247.63,246.78,246.93,25647.0,392.0,247.174124
AAPL,2024-12-10 15:15:00+00:00,247.02,247.265,246.6,246.715,14743.0,268.0,246.88327
AAPL,2024-12-10 15:30:00+00:00,246.68,246.87,246.3,246.3,29032.0,380.0,246.62455
AAPL,2024-12-10 15:45:00+00:00,246.31,246.435,245.84,245.895,29283.0,371.0,246.141417
AAPL,2024-12-10 16:00:00+00:00,245.885,246.24,245.57,245.86,54698.0,656.0,245.916763
AAPL,2024-12-10 16:15:00+00:00,245.825,245.83,245.35,245.64,31371.0,442.0,245.60944
